,index,coordinates,codeInsee,nom,adresse_ligne01,adresse_ligne02,adresse_ligne03,adresse_code_postal,adresse_commune,adresse_coordonnees,telephone,e_mail,url,zonage_commune
1006,permanence_juridique-83099-01,"[6.68326, 43.456608]",83099,Point-justice - relais d'accès au droit de Puget-sur-Argens,boulevard Cavalier,,,83480,PUGET SUR ARGENS,"[6.68326, 43.456608]",04 94 19 67 00,,,['83099 Puget-sur-Argens']
1007,permanence_juridique-83137-03,"[5.936609, 43.120728]",83137,Point-justice - Point d'accès au droit de Toulon,"Tribunal de Grande Instance de Toulon, place Gabriel Péri",,,83000,TOULON,"[5.936609, 43.120728]",04 94 09 60 00,,,['83137 Toulon']
1008,permanence_juridique-83069-01,"[6.130349, 43.121828]",83069,Point-justice - Point d'accès au droit D'Hyères,16 place de la République,,,83400,HYERES,"[6.130349, 43.121828]",04 94 01 84 04,,,['83069 Hyères']
1009,permanence_juridique-83136-02,"[6.304721, 43.451746]",83136,Point-justice - relais d'accès au droit Le Luc en Provence,place Louis Brunet,,,83340,LE LUC EN PROVENCE,"[6.304721, 43.451746]",04 94 73 84 85,,,['83136 Le Thoronet']
1010,permanence_juridique-83136-01,"[6.318662, 43.445178]",83136,Point-justice - relais d'accès au droit de Flassans,avenue du Général de Gaulle,,,83340,FLASSANS,"[6.318662, 43.445178]",04 94 37 00 50,,,['83136 Le Thoronet']
1011,permanence_juridique-83023-01,"[6.069464, 43.416025]",83023,Point-justice - Point d'accès au droit de la Communauté d'Agglomération de la Provence Verte à Brignoles,"174, route départementale 554",,,83170,BRIGNOLES,"[6.069464, 43.416025]",04 98 05 93 73,,,['83023 Brignoles']
1012,permanence_juridique-83126-01,"[5.869464, 43.111314]",83126,Point-justice - France services,98 avenue Louis Pergaud,,,83500,LA SEYNE,"[5.869464, 43.111314]",04 94 10 93 50,,,['83126 La Seyne-sur-Mer']
1013,permanence_juridique-83116-01,"[5.862762, 43.45373]",83116,Point-justice - Point d'accès au droit de la Communauté d'Agglomération de la Provence Verte à Saint-Maximin-La-Sainte-Baume,6 rue des poilus,,,83470,ST MAXIMIN LA STE BAUME,"[5.862762, 43.45373]",04 94 86 65 10,,,['83116 Saint-Maximin-la-Sainte-Baume']
1014,permanence_juridique-83036-01,"[6.529806, 43.172711]",83036,Point-justice - relais d'accès au droit  Centre communal d'action sociale de Cavalaire,5 Square de la République,,,83240,CAVALAIRE,"[6.529806, 43.172711]",04 94 64 45 20,,,['83036 Cavalaire-sur-Mer']
1015,permanence_juridique-83017-01,"[6.000609, 43.24446]",83017,Point-justice - relais d'accès au droit de Belgentier,Hôtel de ville - avenue du 8 mai 1945,,,83210,BELGENTIER,"[6.000609, 43.24446]",04 94 33 13 00,,,['83017 Belgentier']
1016,permanence_juridique-83016-02,"[5.797991, 43.192985]",83016,Point-justice - France services,80 chemin du Rouve - Haut Pays Sud Sainte Baume,,,83330,LE BEAUSSET,"[5.797991, 43.192985]",04 94 02 39 23,,,['83016 Le Beausset']
1017,permanence_juridique-83034-01,"[6.071908, 43.094561]",83034,Point-justice - relais d'accès au droit  Centre communal d'action sociale de Carqueiranne,69 avenue Jean Jaurès,,,83320,CARQUEIRANNE,"[6.071908, 43.094561]",04 94 12 34 30,,,['83034 Carqueiranne']
1018,permanence_juridique-83137-01,"[5.978904, 43.122493]",83137,Point-justice - relais d'accès au droit Maison des services publics de Sainte-Musse de Toulon,1624 vieux chemin de Sainte Musse,,,83000,TOULON,"[5.978904, 43.122493]",04 94 36 47 66,,,['83137 Toulon']
1019,permanence_juridique-83137-02,"[5.912477, 43.128517]",83137,Point-justice - relais d'accès au droit du Pont du las de Toulon,447 avenue du XVème Corps,,,83100,TOULON,"[5.912477, 43.128517]",04 94 36 37 41,,,['83137 Toulon']
